0,処女,;漢の浪漫
81,サド,;調教者の時にコマンドを実行しやすい。ABL:奉仕精神が上げにくい
82,マゾ,;SM系コマンドの効果アップ。PALAM:欲情等が上がりやすく、苦痛による気力体力の消費も軽減。ABL:露出癖とマゾっ気を上げやすい
83,両刀,;同性調教を実行しやすい。ABL:レズっ気、レズ中毒(ＢＬっ気、ＢＬ中毒)が上げやすい
84,中毒しやすい,;能力「○○中毒」が上げやすい
85,中毒しにくい,;能力「○○中毒」が上げにくい
86,中毒扇動,;助手が持っており、調教中一定条件を満たすと、調教終了直後のみ能力「○○中毒」が上げやすくなる
	;魅了系の素質
90,魅力,;売却額増加
91,魅惑,;調教者の時にコマンドを実行しやすい。調教者の時にPALAMが全体的に上がりやすい
92,謎の魅力,;調教者の時にコマンドを実行しやすい。調教者の時にPALAMが全体的に上がりやすい
93,小悪魔,;調教者の時にコマンドを実行しやすい
94,人気,;売却額等が増加
95,鼓舞,;助手の時にコマンドを実行しやすい。助手の時に調教終了後の自慰回数増加、時間経過における気力回復量増加
96,大乳導,;調教対象が巨乳・爆乳のとき調教の効果が上がる。反面、調教対象が貧乳や絶壁のときは効果が若干低下(元ネタ：大入道)
97,つるぺた堕し,;調教対象が貧乳・絶壁のとき調教の効果が上がる。反面、調教対象が巨乳や爆乳のときは効果が若干低下(元ネタ：つるべ落とし)
98,大甲斐性,;素晴らしいまでの甲斐性の持ち主。
	;身体特徴他
100,Ｃ敏感,;PALAM:快Ｃが上がりやすい
101,Ｃ鈍感,;PALAM:快Ｃが上がりにくい
102,Ｖ敏感,;PALAM:快Ｖが上がりやすい
103,Ｖ鈍感,;PALAM:快Ｖが上がりにくい
104,Ａ敏感,;PALAM:快Ａが上がりやすい
105,Ａ鈍感,;PALAM:快Ａが上がりにくい
106,Ｂ敏感,;PALAM:快Ｂが上がりやすい
107,Ｂ鈍感,;PALAM:快Ｂが上がりにくい

110,絶壁,;ABL:Ｂ感覚が特に上げやすい。胸関連の調教が一部不可能なぐらいペナルティ
111,貧乳,;ABL:Ｂ感覚が上げやすい。胸関連の調教にペナルティ
112,巨乳,;ABL:Ｂ感覚が上げにくい。胸関連の調教にボーナス
113,爆乳,;ABL:Ｂ感覚がかなり上げにくい。胸関連の調教に結構ボーナス
114,日光浴,;昼休憩時体力回復量上昇
115,月光浴,;夜休憩時体力回復量上昇
116,動物耳,;売却額増加
117,蜘蛛の脚,;俗に言う「アルケニー体型」であるかを示す。使用可能なコマンドが一部増える。実質ヤマメ専用
	;特殊
120,オトコ,;男である
121,ふたなり,;オトコでなくてもSEX系調教が可能
122,不思議な根,;助手化の際にふたなりになる
123,具現,;助手化の際にふたなりになる
124,顕在化,;不思議な根または具現でペニスが顕在化したことを示す
125,狂気の目,;コマンド「狂気の目」を使えるようになる
126,教育者,;工房で教育を実行しやすくなる
127,小人体型,;主人が禁断の知識を持っていないと多くのＶＡ調教に制約がかかる
128,小柄体型,;PALAM:苦痛、恐怖が上がりやすい
129,巨躯,;PALAM:苦痛・恐怖が上がりにくい、体力の消費が減少、一部調教コマンドが実行しやすくなる
130,幼児,;調教者の時に相手を母乳体質にする。胸関連の調教の効果が高い
131,幼稚,;調教者の時に相手を母乳体質にする。調教者の時に胸関連の調教の効果が高い
132,早漏,;射精が早くなる
133,遅漏,;射精が遅くなる
134,母乳体質,;噴乳する
135,卵生,;卵を産む種族
136,産卵体質,;卵生でないのに卵を産んでしまう体質
137,回復早い,;体力回復量が多い
138,回復遅い,;体力回復量が少ない
139,変幻自在,;自分の体格を自由に変化させることできる
	;妊娠系の素質(140〜)・触手系の素質(145〜)
140,妊娠,;にんっしんっしている
141,育児中,;子供を育てている最中である証
142,母性,;子を産んだ母の愛
143,抱卵中,;卵を世話してます
145,懐卵,;触手の卵を体内に宿した状態。ABL:触手中毒を上げやすい。売却額にペナルティ、にんっしんっ出来なくなる
146,寄生,;触手を体内に寄生させた状態。ABL:触手中毒を上げやすい、触手調教中の消費を軽減、他増加。売却額にペナルティ
149,触手使役術,;触手を操る術を身に付けている。持っていると触手調教が可能になる
	;陥落系の素質
150,恋慕,;主人による調教が実行しやすい。PALAM:屈服が上がりやすい
151,妄信,;コマンドを実行しやすい。PALAM:屈服が上がりやすい
152,親愛,;愛の証
153,相愛,;極度の依存状態
157,嫉妬,;助手調教の時、自分と調教対象が共に主人と仲が良い場合はPALAM:苦痛・屈服が上がりやすい。ぱるぱるぱるぱる……
158,狂気,;売却額がかなり低下。調教者の時、一部のハードな調教が実行可能に
159,幼児退行,;PALAM:恭順・苦痛・恐怖・反感が上がりやすく、習得・欲情・恥情・抑鬱が上がりにくい。胸関連の調教の効果が高い
160,服従,;身も心も奴隷になった証
161,烙印,;永遠に主人のものとなった奴隷の証　※この素質がついている奴隷は売却できなくなります
162,隷属,;最高の奴隷である証。奴隷になっていることを誇りに思っている
163,傷物,;過去に一度烙印を押されたことがある証。売却額が低下、PALAM:恐怖・抑鬱・反感が上がりやすく、恭順・苦痛が上がりにくい
164,使い魔,;忠実な僕である使い魔の証。調教者の時、主人の能力によって効果が増減する　※この素質がついていると売却できなくなります
167,精神崩壊,;心が完全に壊れた状態。気力の回復量がかなり低い。PALAMが全体的に上がりにくい、好感度が上昇しない、売却額がかなり低下
168,傀儡,;自我を失い、ロボット化した状態。気力の回復量が低い。快○、潤滑、習得、苦痛以外のPALAMが上がりにくい、好感度が殆ど上昇しない、売却額が低下
169,壊造人格,;自我を壊された揚句、都合のよい人格を上書きされた状態。コマンドが実行しやすく、不利なPALAMも上がりにくくなる。ただし売却出来なくなる
	;淫乱系の素質
170,淫乱,;コマンドを実行しやすい。ABLが全体的に上がりやすい
171,淫核／淫茎,;Ｃ系コマンド実行時にPALAM:習得・潤滑・欲情が上がりやすい。逆に抑鬱が上がりにくい
172,淫壷,;Ｖ系コマンドの効果アップ。PALAM:欲情・潤滑・恭順が上がりやすく、抑鬱が上がりにくい
173,淫尻,;Ａ系コマンドの効果アップ。Ａ系コマンド実行時、PALAM:欲情・潤滑・恭順が上がりやすく、恐怖・反感が上がりにくくなる
174,淫乳,;Ｂ系コマンド実行時、効果上昇。胸系追加コマンドの場合効果さらに増大
175,尿道狂,;尿道系コマンド実行時、効果上昇
176,キス魔,;キスで感じる身体になった状態。キス系のコマンドが強化される
177,ドＳ,;調教を通じて加虐嗜好に目覚めた状態。挙動はサドに近い
178,ドＭ,;調教を通じて被虐嗜好に目覚めた状態。挙動はマゾに近い
179,即落ち,;コマンドを実行しやすい。PALAM:欲情や快感系が上がりやすい
180,淫魔,;淫乱系最上位素質。身も心も堕落しきった状態。精神が淫魔と化しているとも言える。淫乱系素質取得制限が解除される他、体力・気力の消耗が軽減され、気力が0になってもペナルティを受けない
	;その他の技術に関する素質
189,家電使役知識,;少し複雑な電気製品でも使い方なら理解できる
190,音痴,;音感がない。歌うのに不利
191,音感,;音感を持つ。歌うのに有利
192,料理苦手,;文字通り料理が苦手
193,料理得意,;文字通り料理が上手
194,調理名人,;料理の腕前が達人レベル
195,工作名人,;モノづくりに自信と実力がある
196,報道者,;ジャーナリストの端くれ。結果的に写真やビデオにも強い
197,魔術技能,;魔術を扱う能力を持っていることを示す
198,超常目算,;常人では計測できない数値を見切ることができる。
;199,分身,;分身能力を持っていることを示す
	;種族的な特徴
200,妖精,;妖精であることを示す。やや酔い易い
201,触手,;触手である
205,吸血鬼,;吸血鬼であることを示す。夜休憩時体力回復量上昇、昼間は野外に出られない
206,機械,;アンドロイドやサイボーグであることを示す。薬、浣腸のほとんどに制限、体質の変化不能。酔いによる消耗が増加しない
207,霊体,;体が霊体である。体力が減りにくく、気力が減りやすい
208,人形,;人形である。PALAM:欲情・潤滑は上がりにくいが苦痛からくる体力・気力の減少は軽減される。酔いにくい
209,悪魔,;悪魔である。PALAM:欲情が上がりやすい。調教者の時にPALAM:欲情・苦痛が上がりやすい
210,河童,;河童である。調教者の時にPALAM:習得が上がりやすい。お酒に強い。酔いによる消耗が軽減される
211,妖狐,;妖狐である。調教者の時にPALAM:恥情が上がりやすい。助手時に「媚薬」が手に入る事がある
212,半白澤,;ワーハクタクである。時間が夜の時、1/3の確率で変身する(1=通常, 2=変身中)
213,覚,;さとりである。気力の消耗とPALAM:恐怖・反感が上がりやすい。調教者の時にPALAM:屈服・恥情・恐怖が上がりやすい。心が読めるようになる
214,鬼,;鬼である。お酒に対してかなり強い。酔いによる消耗が増加しない
215,天狗,;天狗である。お酒に強い。酔いによる消耗が軽減される
216,求聞持,;見たものを忘れない？転生を行う。その分一回の人生は短い。身体的には未熟で虚弱。
217,鵺,;鵺である。一部素質が変動する。また、売却補正は極めて高い
218,博麗の巫女,;博麗の巫女である。相続制。
219,風祝,;守矢の現人神である。相続制。
220,爆発物,;爆発物である。ある条件を満たすと爆発するので慎重に扱うこと。アリスの人形等についている。
221,黄昏の怪物,;酒に対する耐性が鬼に匹敵している。
222,神霊,;神様あるいは仏様である。体力気力の消耗が少なく、回復も早いが、特定の個人になびきにくい。
223,半神,;神様あるいは仏様の血を濃く引いている。体力気力の回復が早いが、特定の個人になびきにくい。
224,死神,;死神である。調教者の時、相手が[神霊]以外ならPALAM:恐怖が上がりやすい
225,仙人,;仙人である。[死神]とは相容れない。また、売却補正が（食糧的に）高い。
226,キョンシー,;キョンシーである。
227,化け狸,;化け狸である。調教者の時にPALAM:恥情が上がりやすい。助手時に「媚薬」が手に入る事がある
;228,面霊気,;こころ？
229,人魚,;人魚である。薬の材料になるため売却補正が高いが、多くのコマンドに制限がつく。淡水・海水の区別は付けていないが、幻想郷では淡水の人魚しかいなそう。スク水でプール対応。後背位系ができない。野外調教できない。
230,ろくろ首,;ろくろ首である。首を飛ばすことができる。首を伸ばせるのかは不明（弾幕を見る限り魔力的ななんかで繋がることもできそう）。特殊な体位ができる？　未実装
231,人狼,;女なら狼女である。毛深い？　時間が夜の時、1/3の確率で[パイパン]を失う
;232,付喪神,
;233,天邪鬼,
;234,小人,;小人体形があるから不要かも
	;娼館系の素質
260,娼婦,;売春行為で否定の珠がたまりにくくなる
261,求愛依存,;否定の珠が増えなくなり、代わりに恭順の珠が増える。
262,売春中毒,;売春を無理やりやめさせるとデメリット。さらにやめさせても勝手に売春を始める
263,春の人,;売春行為で否定の珠がたまりにくくなる。リリーホワイト他数名が所持
264,看板娘,;否定の珠が増えにくくなる。人気が１００になると取得
265,常連客,;娼館により多くの客を集めることができます
	;触手の素質
700,鞭触手,;
701,針触手,;
702,放電触手,;
703,催眠触手,;
704,極細触手,;
705,養分注入触手,;
706,抗菌触手,;
707,ゴーヤ型触手,;
708,磯巾着型触手,;
709,触手遠隔精密制御,;
710,特殊ホルモン分泌,;
711,触手賢者の石,;
;奴隷懲罰用触手部屋
712,体内適応力強化,;
713,精液放出量強化,;
714,精子と触手の部屋
715,吸血触手,;

749,現し身触手,;
	;キャラ触手
750,SATORI触手,;
751,NITORI触手,;
752,YUYUKO触手,;
753,SUIKA触手,;
754,ALICE触手,;
755,HINA触手,;
756,AYA触手,;
757,PARSEE触手,;
758,MEDICINE触手,;
759,PATCHOULI触手,;
760,HIGH_FAIRY触手,;
761,CIRNO触手,;
762,NAZRIN触手,;
763,EIKI触手,;
764,SHIZUHA触手,;
765,MINORIKO触手,;
766,SUWAKO触手,;
	;分類不明
830,拒絶,;相性計算が強制的に50％として扱われる。相愛・隷属・壊造人格が付いている場合、53％として扱われる
831,野菜の錬金術師,;特殊なコマンドが使用可能になる
;832,魔才の錬金術師,;魔才族の立派な体と永遠の若さをこの手に…………掴んだところで何をするのだろう？
833,Spell Card,;スペルカードの使用主か共通の主人を持つ[SpellCard]持ち以外の相性が極端に悪くなる
834,地獄の勲章,;よくぞ彼女を攻略してくれた。褒美としてへる子を購入する権利をやろう！
835,変遷,;その名の通り特定の素質が変遷する
	;キャラ分類(どう分類するか検討中)
;900,,;旧作キャラであることを示す
;901,,;西方キャラであることを示す
;902,,;黄昏酒場キャラであることを示す
;903,,;無名キャラであることを示す
;904,,;二次創作キャラであることを示す
	;デバッグコマンド
998,Debug,;コマンドを実行しやすい。調教対象に付けていた場合は調教時にABLが上がる事がある。デバッグ用
